Week,Airports,Class,Passengers,Date
1991 W29,MEL-BNE,Economy,6075,15-07-1991
1991 W30,MEL-BNE,Economy,5107,22-07-1991
1991 W31,MEL-BNE,Economy,5609,29-07-1991
1991 W32,MEL-BNE,Economy,6115,05-08-1991
1991 W33,MEL-BNE,Economy,5985,12-08-1991
1991 W34,MEL-BNE,Economy,6318,19-08-1991
1991 W35,MEL-BNE,Economy,6483,26-08-1991
1991 W36,MEL-BNE,Economy,6918,02-09-1991
1991 W37,MEL-BNE,Economy,8444,09-09-1991
1991 W38,MEL-BNE,Economy,8066,16-09-1991
1991 W39,MEL-BNE,Economy,7675,23-09-1991
1991 W40,MEL-BNE,Economy,7320,30-09-1991
1991 W41,MEL-BNE,Economy,7128,07-10-1991
1991 W42,MEL-BNE,Economy,7418,14-10-1991
1991 W43,MEL-BNE,Economy,6560,21-10-1991
1991 W44,MEL-BNE,Economy,6141,28-10-1991
1991 W45,MEL-BNE,Economy,6641,04-11-1991
1991 W46,MEL-BNE,Economy,6915,11-11-1991
1991 W47,MEL-BNE,Economy,6870,18-11-1991
1991 W48,MEL-BNE,Economy,6767,25-11-1991
1991 W49,MEL-BNE,Economy,6905,02-12-1991
1991 W50,MEL-BNE,Economy,7062,09-12-1991
1991 W51,MEL-BNE,Economy,8605,16-12-1991
1991 W52,MEL-BNE,Economy,7494,23-12-1991
1992 W01,MEL-BNE,Economy,7792,30-12-1992
1992 W02,MEL-BNE,Economy,7700,06-01-1992
1992 W03,MEL-BNE,Economy,7052,13-01-1992
1992 W04,MEL-BNE,Economy,6054,20-01-1992
1992 W05,MEL-BNE,Economy,6076,27-01-1992
1992 W06,MEL-BNE,Economy,5529,03-02-1992
1992 W07,MEL-BNE,Economy,6017,10-02-1992
1992 W08,MEL-BNE,Economy,5972,17-02-1992
1992 W09,MEL-BNE,Economy,5524,24-02-1992
1992 W10,MEL-BNE,Economy,5841,02-03-1992
1992 W11,MEL-BNE,Economy,6105,09-03-1992
1992 W12,MEL-BNE,Economy,4919,16-03-1992
1992 W13,MEL-BNE,Economy,4657,23-03-1992
1992 W14,MEL-BNE,Economy,4863,30-03-1992
1992 W15,MEL-BNE,Economy,5045,06-04-1992
1992 W16,MEL-BNE,Economy,5246,13-04-1992
1992 W17,MEL-BNE,Economy,5661,20-04-1992
1992 W18,MEL-BNE,Economy,5539,27-04-1992
1992 W19,MEL-BNE,Economy,5426,04-05-1992
1992 W20,MEL-BNE,Economy,5468,11-05-1992
1992 W21,MEL-BNE,Economy,5560,18-05-1992
1992 W22,MEL-BNE,Economy,5961,25-05-1992
1992 W23,MEL-BNE,Economy,5659,01-06-1992
1992 W24,MEL-BNE,Economy,6400,08-06-1992
1992 W25,MEL-BNE,Economy,7072,15-06-1992
1992 W26,MEL-BNE,Economy,7932,22-06-1992
1992 W27,MEL-BNE,Economy,7950,29-06-1992
1992 W28,MEL-BNE,Economy,8125,06-07-1992
1992 W29,MEL-BNE,Economy,7714,13-07-1992
1992 W30,MEL-BNE,Economy,7047,20-07-1992
1992 W31,MEL-BNE,Economy,7441,27-07-1992
1992 W32,MEL-BNE,Economy,7469,03-08-1992
1992 W33,MEL-BNE,Economy,7065,10-08-1992
1992 W34,MEL-BNE,Economy,7339,17-08-1992
1992 W35,MEL-BNE,Economy,6978,24-08-1992
1992 W36,MEL-BNE,Economy,6984,31-08-1992
1992 W37,MEL-BNE,Economy,8475,07-09-1992
1992 W38,MEL-BNE,Economy,7960,14-09-1992
1992 W39,MEL-BNE,Economy,9532,21-09-1992
1992 W40,MEL-BNE,Economy,8400,28-09-1992
1992 W41,MEL-BNE,Economy,8131,05-10-1992
1992 W42,MEL-BNE,Economy,7492,12-10-1992
1992 W43,MEL-BNE,Economy,7709,19-10-1992
1992 W44,MEL-BNE,Economy,7134,26-10-1992
1992 W45,MEL-BNE,Economy,7291,02-11-1992
1992 W46,MEL-BNE,Economy,7372,09-11-1992
1992 W47,MEL-BNE,Economy,7475,16-11-1992
1987 W26,MEL-BNE,First,210,22-06-1987
1987 W27,MEL-BNE,First,251,29-06-1987
1987 W28,MEL-BNE,First,301,06-07-1987
1987 W29,MEL-BNE,First,261,13-07-1987
1987 W30,MEL-BNE,First,336,20-07-1987
1987 W31,MEL-BNE,First,256,27-07-1987
1987 W32,MEL-BNE,First,258,03-08-1987
1987 W33,MEL-BNE,First,253,10-08-1987
1987 W34,MEL-BNE,First,295,17-08-1987
1987 W35,MEL-BNE,First,287,24-08-1987
1987 W36,MEL-BNE,First,342,31-08-1987
1987 W37,MEL-BNE,First,245,07-09-1987
1987 W39,MEL-BNE,First,273,21-09-1987
1987 W40,MEL-BNE,First,272,28-09-1987
1987 W41,MEL-BNE,First,259,05-10-1987
1987 W42,MEL-BNE,First,290,12-10-1987
1987 W43,MEL-BNE,First,288,19-10-1987
1987 W44,MEL-BNE,First,227,26-10-1987
1987 W45,MEL-BNE,First,313,02-11-1987
1987 W46,MEL-BNE,First,277,09-11-1987
1987 W47,MEL-BNE,First,346,16-11-1987
1987 W48,MEL-BNE,First,323,23-11-1987
1987 W49,MEL-BNE,First,270,30-11-1987
1987 W50,MEL-BNE,First,214,07-12-1987
1987 W51,MEL-BNE,First,145,14-12-1987
1987 W52,MEL-BNE,First,109,21-12-1987
1987 W53,MEL-BNE,First,126,28-12-1987
1988 W01,MEL-BNE,First,188,04-01-1988
1988 W02,MEL-BNE,First,197,11-01-1988
1988 W03,MEL-BNE,First,201,18-01-1988
1988 W04,MEL-BNE,First,238,25-01-1988
1988 W05,MEL-BNE,First,241,01-02-1988
1988 W06,MEL-BNE,First,247,08-02-1988
1988 W07,MEL-BNE,First,195,15-02-1988
1988 W08,MEL-BNE,First,289,22-02-1988
1988 W09,MEL-BNE,First,274,29-02-1988
1988 W10,MEL-BNE,First,265,07-03-1988
1988 W11,MEL-BNE,First,294,14-03-1988
1988 W12,MEL-BNE,First,239,21-03-1988
1988 W13,MEL-BNE,First,177,28-03-1988
1988 W14,MEL-BNE,First,237,04-04-1988
1988 W15,MEL-BNE,First,307,11-04-1988
1988 W16,MEL-BNE,First,289,18-04-1988
1988 W17,MEL-BNE,First,293,25-04-1988
1988 W18,MEL-BNE,First,333,02-05-1988
1988 W19,MEL-BNE,First,363,09-05-1988
1988 W20,MEL-BNE,First,293,16-05-1988
1988 W21,MEL-BNE,First,250,23-05-1988
1988 W22,MEL-BNE,First,295,30-05-1988
1988 W23,MEL-BNE,First,239,06-06-1988
1988 W24,MEL-BNE,First,212,13-06-1988
1988 W25,MEL-BNE,First,280,20-06-1988
1988 W26,MEL-BNE,First,262,27-06-1988
1988 W27,MEL-BNE,First,378,04-07-1988
1988 W28,MEL-BNE,First,308,11-07-1988
1988 W29,MEL-BNE,First,319,18-07-1988
1988 W30,MEL-BNE,First,243,25-07-1988
1988 W31,MEL-BNE,First,287,01-08-1988
1988 W32,MEL-BNE,First,373,08-08-1988
1988 W33,MEL-BNE,First,328,15-08-1988
1988 W34,MEL-BNE,First,309,22-08-1988
1988 W35,MEL-BNE,First,359,29-08-1988
1988 W36,MEL-BNE,First,329,05-09-1988
1988 W37,MEL-BNE,First,306,12-09-1988
1988 W38,MEL-BNE,First,309,19-09-1988
1988 W39,MEL-BNE,First,212,26-09-1988
1988 W40,MEL-BNE,First,241,03-10-1988
1988 W41,MEL-BNE,First,242,10-10-1988
1988 W42,MEL-BNE,First,314,17-10-1988
1988 W43,MEL-BNE,First,271,24-10-1988
1988 W44,MEL-BNE,First,303,31-10-1988
1988 W45,MEL-BNE,First,287,07-11-1988
1988 W46,MEL-BNE,First,290,14-11-1988
1988 W47,MEL-BNE,First,295,21-11-1988
1988 W48,MEL-BNE,First,292,28-11-1988
1988 W49,MEL-BNE,First,321,05-12-1988
1988 W50,MEL-BNE,First,203,12-12-1988
1988 W51,MEL-BNE,First,82,19-12-1988
1988 W52,MEL-BNE,First,180,26-12-1988
1989 W01,MEL-BNE,First,142,02-01-1989
1989 W02,MEL-BNE,First,216,09-01-1989
1989 W03,MEL-BNE,First,231,16-01-1989
1989 W04,MEL-BNE,First,252,23-01-1989
1989 W05,MEL-BNE,First,303,30-01-1989
1989 W06,MEL-BNE,First,344,06-02-1989
1989 W07,MEL-BNE,First,259,13-02-1989
1989 W08,MEL-BNE,First,299,20-02-1989
1989 W09,MEL-BNE,First,288,27-02-1989
1989 W10,MEL-BNE,First,346,06-03-1989
1989 W11,MEL-BNE,First,321,13-03-1989
1989 W12,MEL-BNE,First,204,20-03-1989
1989 W13,MEL-BNE,First,369,27-03-1989
1989 W14,MEL-BNE,First,353,03-04-1989
1989 W15,MEL-BNE,First,344,10-04-1989
1989 W16,MEL-BNE,First,279,17-04-1989
1989 W17,MEL-BNE,First,294,24-04-1989
1989 W18,MEL-BNE,First,307,01-05-1989
1989 W19,MEL-BNE,First,308,08-05-1989
1989 W20,MEL-BNE,First,309,15-05-1989
1989 W21,MEL-BNE,First,299,22-05-1989
1989 W22,MEL-BNE,First,311,29-05-1989
1989 W23,MEL-BNE,First,275,05-06-1989
1989 W24,MEL-BNE,First,296,12-06-1989
1989 W25,MEL-BNE,First,309,19-06-1989
1989 W26,MEL-BNE,First,325,26-06-1989
1989 W27,MEL-BNE,First,278,03-07-1989
1989 W28,MEL-BNE,First,212,10-07-1989
1989 W29,MEL-BNE,First,297,17-07-1989
1989 W30,MEL-BNE,First,220,24-07-1989
1989 W31,MEL-BNE,First,286,31-07-1989
1989 W32,MEL-BNE,First,236,07-08-1989
1989 W33,MEL-BNE,First,104,14-08-1989
1989 W34,MEL-BNE,First,0,21-08-1989
1989 W35,MEL-BNE,First,0,28-08-1989
1989 W36,MEL-BNE,First,0,04-09-1989
1989 W37,MEL-BNE,First,0,11-09-1989
1989 W38,MEL-BNE,First,0,18-09-1989
1989 W39,MEL-BNE,First,0,25-09-1989
1989 W40,MEL-BNE,First,0,02-10-1989
1989 W41,MEL-BNE,First,12,09-10-1989
1989 W42,MEL-BNE,First,23,16-10-1989
1989 W43,MEL-BNE,First,50,23-10-1989
1989 W44,MEL-BNE,First,28,30-10-1989
1989 W45,MEL-BNE,First,30,06-11-1989
1989 W46,MEL-BNE,First,24,13-11-1989
1989 W47,MEL-BNE,First,25,20-11-1989
1989 W48,MEL-BNE,First,37,27-11-1989
1989 W49,MEL-BNE,First,20,04-12-1989
1989 W50,MEL-BNE,First,34,11-12-1989
1989 W51,MEL-BNE,First,12,18-12-1989
1989 W52,MEL-BNE,First,87,25-12-1989
1990 W01,MEL-BNE,First,101,01-01-1990
1990 W02,MEL-BNE,First,143,08-01-1990
1990 W03,MEL-BNE,First,96,15-01-1990
1990 W04,MEL-BNE,First,111,22-01-1990
1990 W05,MEL-BNE,First,118,29-01-1990
1990 W06,MEL-BNE,First,155,05-02-1990
1990 W07,MEL-BNE,First,123,12-02-1990
1990 W08,MEL-BNE,First,108,19-02-1990
1990 W09,MEL-BNE,First,199,26-02-1990
1990 W10,MEL-BNE,First,198,05-03-1990
1990 W11,MEL-BNE,First,204,12-03-1990
1990 W12,MEL-BNE,First,236,19-03-1990
1990 W13,MEL-BNE,First,233,26-03-1990
1990 W14,MEL-BNE,First,195,02-04-1990
1990 W15,MEL-BNE,First,168,09-04-1990
1990 W16,MEL-BNE,First,161,16-04-1990
1990 W17,MEL-BNE,First,251,23-04-1990
1990 W18,MEL-BNE,First,210,30-04-1990
1990 W19,MEL-BNE,First,219,07-05-1990
1990 W20,MEL-BNE,First,213,14-05-1990
1990 W21,MEL-BNE,First,219,21-05-1990
1990 W22,MEL-BNE,First,210,28-05-1990
1990 W23,MEL-BNE,First,187,04-06-1990
1990 W24,MEL-BNE,First,238,11-06-1990
1990 W25,MEL-BNE,First,194,18-06-1990
1990 W26,MEL-BNE,First,180,25-06-1990
1990 W27,MEL-BNE,First,185,02-07-1990
1990 W28,MEL-BNE,First,189,09-07-1990
1990 W29,MEL-BNE,First,189,16-07-1990
1990 W30,MEL-BNE,First,177,23-07-1990
1990 W31,MEL-BNE,First,223,30-07-1990
1990 W32,MEL-BNE,First,189,06-08-1990
1990 W33,MEL-BNE,First,156,13-08-1990
1990 W34,MEL-BNE,First,203,20-08-1990
1990 W35,MEL-BNE,First,195,27-08-1990
1990 W36,MEL-BNE,First,213,03-09-1990
1990 W37,MEL-BNE,First,181,10-09-1990
1990 W38,MEL-BNE,First,171,17-09-1990
1990 W39,MEL-BNE,First,243,24-09-1990
1990 W40,MEL-BNE,First,194,01-10-1990
1990 W41,MEL-BNE,First,233,08-10-1990
1990 W42,MEL-BNE,First,226,15-10-1990
1990 W43,MEL-BNE,First,212,22-10-1990
1990 W44,MEL-BNE,First,185,29-10-1990
1990 W45,MEL-BNE,First,182,05-11-1990
1990 W46,MEL-BNE,First,187,12-11-1990
1990 W47,MEL-BNE,First,225,19-11-1990
1990 W48,MEL-BNE,First,186,26-11-1990
1990 W49,MEL-BNE,First,162,03-12-1990
1990 W50,MEL-BNE,First,164,10-12-1990
1990 W51,MEL-BNE,First,85,17-12-1990
1990 W52,MEL-BNE,First,110,24-12-1990
1991 W01,MEL-BNE,First,101,31-12-1991
1991 W02,MEL-BNE,First,136,07-01-1991
1991 W03,MEL-BNE,First,187,14-01-1991
1991 W04,MEL-BNE,First,109,21-01-1991
1991 W05,MEL-BNE,First,144,28-01-1991
1991 W06,MEL-BNE,First,199,04-02-1991
1991 W07,MEL-BNE,First,133,11-02-1991
1991 W08,MEL-BNE,First,149,18-02-1991
1991 W09,MEL-BNE,First,158,25-02-1991
1991 W10,MEL-BNE,First,147,04-03-1991
1991 W11,MEL-BNE,First,170,11-03-1991
1991 W12,MEL-BNE,First,150,18-03-1991
1991 W13,MEL-BNE,First,161,25-03-1991
1991 W14,MEL-BNE,First,160,01-04-1991
1991 W15,MEL-BNE,First,167,08-04-1991
1991 W16,MEL-BNE,First,149,15-04-1991
1991 W17,MEL-BNE,First,204,22-04-1991
1991 W18,MEL-BNE,First,136,29-04-1991
1991 W19,MEL-BNE,First,129,06-05-1991
1991 W20,MEL-BNE,First,172,13-05-1991
1991 W21,MEL-BNE,First,139,20-05-1991
1991 W22,MEL-BNE,First,127,27-05-1991
1991 W23,MEL-BNE,First,125,03-06-1991
1991 W24,MEL-BNE,First,109,10-06-1991
1991 W25,MEL-BNE,First,165,17-06-1991
1991 W26,MEL-BNE,First,161,24-06-1991
1991 W27,MEL-BNE,First,158,01-07-1991
1991 W28,MEL-BNE,First,187,08-07-1991
1991 W29,MEL-BNE,First,147,15-07-1991
1991 W30,MEL-BNE,First,127,22-07-1991
1991 W31,MEL-BNE,First,140,29-07-1991
1991 W32,MEL-BNE,First,146,05-08-1991
1991 W33,MEL-BNE,First,181,12-08-1991
1991 W34,MEL-BNE,First,195,19-08-1991
1991 W35,MEL-BNE,First,146,26-08-1991
1991 W36,MEL-BNE,First,195,02-09-1991
1991 W37,MEL-BNE,First,178,09-09-1991
1991 W38,MEL-BNE,First,238,16-09-1991
1991 W39,MEL-BNE,First,149,23-09-1991
1991 W40,MEL-BNE,First,189,30-09-1991
1991 W41,MEL-BNE,First,158,07-10-1991
1991 W42,MEL-BNE,First,158,14-10-1991
1991 W43,MEL-BNE,First,174,21-10-1991
1991 W44,MEL-BNE,First,171,28-10-1991
1991 W45,MEL-BNE,First,178,04-11-1991
1991 W46,MEL-BNE,First,174,11-11-1991
1991 W47,MEL-BNE,First,155,18-11-1991
1991 W48,MEL-BNE,First,151,25-11-1991
1991 W49,MEL-BNE,First,193,02-12-1991
1991 W50,MEL-BNE,First,154,09-12-1991
1991 W51,MEL-BNE,First,51,16-12-1991
1991 W52,MEL-BNE,First,58,23-12-1991
1992 W01,MEL-BNE,First,126,30-12-1992
1992 W02,MEL-BNE,First,100,06-01-1992
1992 W03,MEL-BNE,First,134,13-01-1992
1992 W04,MEL-BNE,First,125,20-01-1992
1992 W05,MEL-BNE,First,306,27-01-1992
1992 W06,MEL-BNE,First,343,03-02-1992
1992 W07,MEL-BNE,First,421,10-02-1992
1992 W08,MEL-BNE,First,356,17-02-1992
1992 W09,MEL-BNE,First,359,24-02-1992
1992 W10,MEL-BNE,First,344,02-03-1992
1992 W11,MEL-BNE,First,408,09-03-1992
1992 W12,MEL-BNE,First,435,16-03-1992
1992 W13,MEL-BNE,First,347,23-03-1992
1992 W14,MEL-BNE,First,386,30-03-1992
1992 W15,MEL-BNE,First,346,06-04-1992
1992 W16,MEL-BNE,First,300,13-04-1992
1992 W17,MEL-BNE,First,372,20-04-1992
1992 W18,MEL-BNE,First,358,27-04-1992
1992 W19,MEL-BNE,First,390,04-05-1992
1992 W20,MEL-BNE,First,388,11-05-1992
1992 W21,MEL-BNE,First,393,18-05-1992
1992 W22,MEL-BNE,First,315,25-05-1992
1992 W23,MEL-BNE,First,372,01-06-1992
1992 W24,MEL-BNE,First,288,08-06-1992
1992 W25,MEL-BNE,First,315,15-06-1992
1992 W26,MEL-BNE,First,316,22-06-1992
1992 W27,MEL-BNE,First,343,29-06-1992
1992 W28,MEL-BNE,First,323,06-07-1992
1992 W29,MEL-BNE,First,271,13-07-1992
1992 W30,MEL-BNE,First,298,20-07-1992
1992 W31,MEL-BNE,First,327,27-07-1992
1992 W32,MEL-BNE,First,319,03-08-1992
1992 W33,MEL-BNE,First,291,10-08-1992
1992 W34,MEL-BNE,First,352,17-08-1992
1992 W35,MEL-BNE,First,340,24-08-1992
1992 W36,MEL-BNE,First,352,31-08-1992
1992 W37,MEL-BNE,First,306,07-09-1992
1992 W38,MEL-BNE,First,325,14-09-1992
1992 W39,MEL-BNE,First,336,21-09-1992
1992 W40,MEL-BNE,First,326,28-09-1992
1992 W41,MEL-BNE,First,315,05-10-1992
1992 W42,MEL-BNE,First,330,12-10-1992
1992 W43,MEL-BNE,First,308,19-10-1992
1992 W44,MEL-BNE,First,296,26-10-1992
1992 W45,MEL-BNE,First,310,02-11-1992
1992 W46,MEL-BNE,First,299,09-11-1992
1992 W47,MEL-BNE,First,328,16-11-1992
1989 W28,MEL-OOL,Business,31,10-07-1989
1989 W29,MEL-OOL,Business,54,17-07-1989
1989 W30,MEL-OOL,Business,47,24-07-1989
1989 W31,MEL-OOL,Business,57,31-07-1989
1989 W32,MEL-OOL,Business,72,07-08-1989
1989 W33,MEL-OOL,Business,70,14-08-1989
1989 W34,MEL-OOL,Business,0,21-08-1989
1989 W35,MEL-OOL,Business,0,28-08-1989
1989 W36,MEL-OOL,Business,0,04-09-1989
1989 W37,MEL-OOL,Business,0,11-09-1989
1989 W38,MEL-OOL,Business,0,18-09-1989
1989 W39,MEL-OOL,Business,0,25-09-1989
1989 W40,MEL-OOL,Business,0,02-10-1989
1989 W41,MEL-OOL,Business,0,09-10-1989
1989 W42,MEL-OOL,Business,0,16-10-1989
1989 W44,MEL-OOL,Business,0,30-10-1989
1989 W45,MEL-OOL,Business,0,06-11-1989
1989 W46,MEL-OOL,Business,0,13-11-1989
1989 W47,MEL-OOL,Business,0,20-11-1989
1989 W48,MEL-OOL,Business,6,27-11-1989
1989 W49,MEL-OOL,Business,0,04-12-1989
1989 W50,MEL-OOL,Business,10,11-12-1989
1989 W51,MEL-OOL,Business,31,18-12-1989
1989 W52,MEL-OOL,Business,14,25-12-1989
1990 W01,MEL-OOL,Business,69,01-01-1990
1990 W02,MEL-OOL,Business,20,08-01-1990
1990 W03,MEL-OOL,Business,15,15-01-1990
1990 W04,MEL-OOL,Business,27,22-01-1990
1990 W05,MEL-OOL,Business,19,29-01-1990
1990 W06,MEL-OOL,Business,30,05-02-1990
1990 W07,MEL-OOL,Business,29,12-02-1990
1990 W08,MEL-OOL,Business,15,19-02-1990
1990 W09,MEL-OOL,Business,49,26-02-1990
1990 W10,MEL-OOL,Business,45,05-03-1990
1990 W11,MEL-OOL,Business,35,12-03-1990
1990 W12,MEL-OOL,Business,49,19-03-1990
1990 W13,MEL-OOL,Business,25,26-03-1990
1990 W14,MEL-OOL,Business,68,02-04-1990
1990 W15,MEL-OOL,Business,64,09-04-1990
1990 W16,MEL-OOL,Business,52,16-04-1990
1990 W17,MEL-OOL,Business,54,23-04-1990
1990 W18,MEL-OOL,Business,33,30-04-1990
1990 W19,MEL-OOL,Business,23,07-05-1990
1990 W20,MEL-OOL,Business,41,14-05-1990
1990 W21,MEL-OOL,Business,50,21-05-1990
1990 W22,MEL-OOL,Business,44,28-05-1990
1990 W23,MEL-OOL,Business,53,04-06-1990
1990 W24,MEL-OOL,Business,55,11-06-1990
1990 W25,MEL-OOL,Business,30,18-06-1990
1990 W26,MEL-OOL,Business,51,25-06-1990
1990 W27,MEL-OOL,Business,59,02-07-1990
1990 W28,MEL-OOL,Business,80,09-07-1990
1990 W29,MEL-OOL,Business,49,16-07-1990
1990 W30,MEL-OOL,Business,38,23-07-1990
1990 W31,MEL-OOL,Business,47,30-07-1990
1990 W32,MEL-OOL,Business,54,06-08-1990
1990 W33,MEL-OOL,Business,57,13-08-1990
1990 W34,MEL-OOL,Business,57,20-08-1990
1990 W35,MEL-OOL,Business,35,27-08-1990
1990 W36,MEL-OOL,Business,41,03-09-1990
1990 W37,MEL-OOL,Business,62,10-09-1990
1990 W38,MEL-OOL,Business,75,17-09-1990
1990 W39,MEL-OOL,Business,58,24-09-1990
1990 W40,MEL-OOL,Business,86,01-10-1990
1990 W41,MEL-OOL,Business,49,08-10-1990
1990 W42,MEL-OOL,Business,24,15-10-1990
1990 W43,MEL-OOL,Business,71,22-10-1990
1990 W44,MEL-OOL,Business,71,29-10-1990
1990 W45,MEL-OOL,Business,60,05-11-1990
1990 W46,MEL-OOL,Business,31,12-11-1990
1990 W47,MEL-OOL,Business,27,19-11-1990
1990 W48,MEL-OOL,Business,55,26-11-1990
1990 W49,MEL-OOL,Business,41,03-12-1990
1990 W50,MEL-OOL,Business,62,10-12-1990
1990 W51,MEL-OOL,Business,50,17-12-1990
1990 W52,MEL-OOL,Business,117,24-12-1990
1991 W01,MEL-OOL,Business,45,31-12-1991
1991 W02,MEL-OOL,Business,61,07-01-1991
1991 W03,MEL-OOL,Business,51,14-01-1991
1991 W04,MEL-OOL,Business,40,21-01-1991
1991 W05,MEL-OOL,Business,30,28-01-1991
1991 W06,MEL-OOL,Business,19,04-02-1991
1991 W07,MEL-OOL,Business,30,11-02-1991
1991 W08,MEL-OOL,Business,38,18-02-1991
1991 W09,MEL-OOL,Business,45,25-02-1991
1991 W10,MEL-OOL,Business,62,04-03-1991
1991 W11,MEL-OOL,Business,38,11-03-1991
1991 W12,MEL-OOL,Business,66,18-03-1991
1991 W13,MEL-OOL,Business,55,25-03-1991
1991 W14,MEL-OOL,Business,47,01-04-1991
1991 W15,MEL-OOL,Business,50,08-04-1991
1991 W16,MEL-OOL,Business,27,15-04-1991
1991 W17,MEL-OOL,Business,41,22-04-1991
1991 W18,MEL-OOL,Business,44,29-04-1991
1991 W19,MEL-OOL,Business,30,06-05-1991
1991 W20,MEL-OOL,Business,51,13-05-1991
1991 W21,MEL-OOL,Business,29,20-05-1991
1991 W22,MEL-OOL,Business,53,27-05-1991
1991 W23,MEL-OOL,Business,50,03-06-1991
1991 W24,MEL-OOL,Business,30,10-06-1991
1991 W25,MEL-OOL,Business,25,17-06-1991
1991 W26,MEL-OOL,Business,43,24-06-1991
1991 W27,MEL-OOL,Business,56,01-07-1991
1991 W28,MEL-OOL,Business,33,08-07-1991
1991 W29,MEL-OOL,Business,42,15-07-1991
1991 W30,MEL-OOL,Business,50,22-07-1991
1991 W31,MEL-OOL,Business,36,29-07-1991
1991 W32,MEL-OOL,Business,24,05-08-1991
1991 W33,MEL-OOL,Business,14,12-08-1991
1991 W34,MEL-OOL,Business,30,19-08-1991
1991 W35,MEL-OOL,Business,36,26-08-1991
1991 W36,MEL-OOL,Business,25,02-09-1991
1991 W37,MEL-OOL,Business,36,09-09-1991
1991 W38,MEL-OOL,Business,76,16-09-1991
1991 W39,MEL-OOL,Business,53,23-09-1991
1991 W40,MEL-OOL,Business,78,30-09-1991
1991 W41,MEL-OOL,Business,59,07-10-1991
1991 W42,MEL-OOL,Business,60,14-10-1991
1991 W43,MEL-OOL,Business,57,21-10-1991
1991 W44,MEL-OOL,Business,27,28-10-1991
1991 W45,MEL-OOL,Business,52,04-11-1991
1991 W46,MEL-OOL,Business,34,11-11-1991
1991 W47,MEL-OOL,Business,42,18-11-1991
1991 W48,MEL-OOL,Business,20,25-11-1991
1991 W49,MEL-OOL,Business,27,02-12-1991
1991 W50,MEL-OOL,Business,32,09-12-1991
1991 W51,MEL-OOL,Business,49,16-12-1991
1991 W52,MEL-OOL,Business,57,23-12-1991
1992 W01,MEL-OOL,Business,41,30-12-1992
1992 W02,MEL-OOL,Business,53,06-01-1992
1992 W03,MEL-OOL,Business,37,13-01-1992
1992 W04,MEL-OOL,Business,31,20-01-1992
1992 W05,MEL-OOL,Business,25,27-01-1992
1992 W06,MEL-OOL,Business,31,03-02-1992
1992 W07,MEL-OOL,Business,35,10-02-1992
1992 W08,MEL-OOL,Business,15,17-02-1992
1992 W09,MEL-OOL,Business,42,24-02-1992
1992 W10,MEL-OOL,Business,30,02-03-1992
1992 W11,MEL-OOL,Business,91,09-03-1992
1992 W12,MEL-OOL,Business,95,16-03-1992
1992 W13,MEL-OOL,Business,125,23-03-1992
1992 W14,MEL-OOL,Business,208,30-03-1992
1992 W15,MEL-OOL,Business,251,06-04-1992
1992 W16,MEL-OOL,Business,241,13-04-1992
1992 W17,MEL-OOL,Business,140,20-04-1992
1992 W18,MEL-OOL,Business,80,27-04-1992
1992 W19,MEL-OOL,Business,100,04-05-1992
1992 W20,MEL-OOL,Business,117,11-05-1992
1992 W21,MEL-OOL,Business,150,18-05-1992
1992 W22,MEL-OOL,Business,220,25-05-1992
1992 W23,MEL-OOL,Business,161,01-06-1992
1992 W24,MEL-OOL,Business,94,08-06-1992
1992 W25,MEL-OOL,Business,66,15-06-1992
1992 W26,MEL-OOL,Business,99,22-06-1992
1992 W27,MEL-OOL,Business,182,29-06-1992
1992 W28,MEL-OOL,Business,111,06-07-1992
1992 W29,MEL-OOL,Business,105,13-07-1992
1992 W30,MEL-OOL,Business,59,20-07-1992
1992 W31,MEL-OOL,Business,49,27-07-1992
1992 W32,MEL-OOL,Business,60,03-08-1992
1992 W33,MEL-OOL,Business,82,10-08-1992
1992 W34,MEL-OOL,Business,88,17-08-1992
1992 W35,MEL-OOL,Business,63,24-08-1992
1992 W36,MEL-OOL,Business,72,31-08-1992
1992 W37,MEL-OOL,Business,75,07-09-1992
1992 W38,MEL-OOL,Business,67,14-09-1992
1992 W39,MEL-OOL,Business,70,21-09-1992
1992 W40,MEL-OOL,Business,99,28-09-1992
1992 W41,MEL-OOL,Business,95,05-10-1992
1992 W42,MEL-OOL,Business,100,12-10-1992
1992 W43,MEL-OOL,Business,56,19-10-1992
1992 W44,MEL-OOL,Business,69,26-10-1992
1992 W45,MEL-OOL,Business,69,02-11-1992
1992 W46,MEL-OOL,Business,70,09-11-1992
1992 W47,MEL-OOL,Business,52,16-11-1992
1987 W26,MEL-OOL,Economy,2472,22-06-1987
1987 W27,MEL-OOL,Economy,2899,29-06-1987
1987 W28,MEL-OOL,Economy,2639,06-07-1987
1987 W29,MEL-OOL,Economy,1977,13-07-1987
1987 W30,MEL-OOL,Economy,1988,20-07-1987
1987 W31,MEL-OOL,Economy,1938,27-07-1987
1987 W32,MEL-OOL,Economy,2205,03-08-1987
1987 W33,MEL-OOL,Economy,2209,10-08-1987
1987 W34,MEL-OOL,Economy,2626,17-08-1987
1987 W35,MEL-OOL,Economy,2317,24-08-1987
1987 W36,MEL-OOL,Economy,3174,31-08-1987
1987 W37,MEL-OOL,Economy,5017,07-09-1987
1987 W39,MEL-OOL,Economy,4128,21-09-1987
1987 W40,MEL-OOL,Economy,3332,28-09-1987
